ID,NOMBRE,COMPLETADO,EXTRA
IRQ5,,NO,0
IRQ6,,NO,0
IRQ7,,NO,0
IRQ8,,NO,0
IRQ9,,NO,0
IRQ10,,NO,0
IRQ11,,NO,0
IRQ12,,NO,0
IRQ13,EQUIPO,NO,0
IRQ14,,NO,0
IRQ15,,NO,0
IRQ16,,NO,0
IRQ17,,NO,0
IRQ18,,NO,0
IRQ19,,NO,0
IRQ20,,NO,0
NOR1,ESCUDO,NO,0
NOR2,,NO,0
NOR3,,NO,0
NOR4,,NO,0
NOR5,,NO,0
NOR6,,NO,0
NOR7,,NO,0
NOR8,,NO,0
NOR9,,NO,0
NOR10,,NO,0
NOR11,,NO,0
NOR12,,NO,0
NOR13,EQUIPO,NO,0
NOR14,,NO,0
NOR15,,NO,0
NOR16,,NO,0
NOR17,,NO,0
NOR18,,NO,0
NOR19,,NO,0
NOR20,,NO,0
ARG1,ESCUDO,NO,0
ARG2,,NO,0
ARG3,,NO,0
ARG4,,NO,0
ARG5,,NO,0
ARG6,,NO,0
ARG7,,NO,0
ARG8,,NO,0
ARG9,,NO,0
ARG10,,NO,0
ARG11,,NO,0
ARG12,,NO,0
ARG13,EQUIPO,NO,0
ARG14,,NO,0
ARG15,,NO,0
ARG16,,NO,0
ARG17,,NO,0
ARG18,,NO,0
ARG19,,NO,0
ARG20,,NO,0
ALG1,ESCUDO,NO,0
ALG2,,NO,0
ALG3,,NO,0
ALG4,,NO,0
ALG5,,NO,0
ALG6,,NO,0
ALG7,,NO,0
ALG8,,NO,0
ALG9,,NO,0
ALG10,,NO,0
ALG11,,NO,0
ALG12,,NO,0
ALG13,EQUIPO,NO,0
ALG14,,NO,0
ALG15,,NO,0
ALG16,,NO,0
ALG17,,NO,0
ALG18,,NO,0
ALG19,,NO,0
ALG20,,NO,0
AUT1,ESCUDO,NO,0
AUT2,,NO,0
AUT3,,NO,0
AUT4,,NO,0
AUT5,,NO,0
AUT6,,NO,0
AUT7,,NO,0
AUT8,,NO,0
AUT9,,NO,0
AUT10,,NO,0
AUT11,,NO,0
AUT12,,NO,0
AUT13,EQUIPO,NO,0
AUT14,,NO,0
AUT15,,NO,0
AUT16,,NO,0
AUT17,,NO,0
AUT18,,NO,0
AUT19,,NO,0
AUT20,,NO,0
JOR1,ESCUDO,NO,0
JOR2,,NO,0
JOR3,,NO,0
JOR4,,NO,0
JOR5,,NO,0
JOR6,,NO,0
JOR7,,NO,0
JOR8,,NO,0
JOR9,,NO,0
JOR10,,NO,0
JOR11,,NO,0
JOR12,,NO,0
JOR13,EQUIPO,NO,0
JOR14,,NO,0
JOR15,,NO,0
JOR16,,NO,0
JOR17,,NO,0
JOR18,,NO,0
JOR19,,NO,0
JOR20,,NO,0
POR1,ESCUDO,NO,0
POR2,,NO,0
POR3,,NO,0
POR4,,NO,0
POR5,,NO,0
POR6,,NO,0
POR7,,NO,0
POR8,,NO,0
POR9,,NO,0
POR10,,NO,0
POR11,,NO,0
POR12,,NO,0
POR13,EQUIPO,NO,0
POR14,,NO,0
POR15,,NO,0
POR16,,NO,0
POR17,,NO,0
POR18,,NO,0
POR19,,NO,0
POR20,,NO,0
COD1,ESCUDO,NO,0
COD2,,NO,0
COD3,,NO,0
COD4,,NO,0
COD5,,NO,0
COD6,,NO,0
COD7,,NO,0
COD8,,NO,0
COD9,,NO,0
COD10,,NO,0
COD11,,NO,0
COD12,,NO,0
COD13,EQUIPO,NO,0
COD14,,NO,0
COD15,,NO,0
COD16,,NO,0
COD17,,NO,0
COD18,,NO,0
COD19,,NO,0
COD20,,NO,0
UZB1,ESCUDO,NO,0
UZB2,,NO,0
UZB3,,NO,0
UZB4,,NO,0
UZB5,,NO,0
UZB6,,NO,0
UZB7,,NO,0
UZB8,,NO,0
UZB9,,NO,0
UZB10,,NO,0
UZB11,,NO,0
UZB12,,NO,0
UZB13,EQUIPO,NO,0
UZB14,,NO,0
UZB15,,NO,0
UZB16,,NO,0
UZB17,,NO,0
UZB18,,NO,0
UZB19,,NO,0
UZB20,,NO,0
COL1,ESCUDO,NO,0
COL2,,NO,0
COL3,,NO,0
COL4,,NO,0
COL5,,NO,0
COL6,,NO,0
COL7,,NO,0
COL8,,NO,0
COL9,,NO,0
COL10,,NO,0
COL11,,NO,0
COL12,,NO,0
COL13,EQUIPO,NO,0
COL14,,NO,0
COL15,,NO,0
COL16,,NO,0
COL17,,NO,0
COL18,,NO,0
COL19,,NO,0
COL20,,NO,0
ENG1,ESCUDO,NO,0
ENG2,,NO,0
ENG3,,NO,0
ENG4,,NO,0
ENG5,,NO,0
ENG6,,NO,0
ENG7,,NO,0
ENG8,,NO,0
ENG9,,NO,0
ENG10,,NO,0
ENG11,,NO,0
ENG12,,NO,0
ENG13,EQUIPO,NO,0
ENG14,,NO,0
ENG15,,NO,0
ENG16,,NO,0
ENG17,,NO,0
ENG18,,NO,0
ENG19,,NO,0
ENG20,,NO,0
CRO1,ESCUDO,NO,0
CRO2,,NO,0
CRO3,,NO,0
CRO4,,NO,0
CRO5,,NO,0
CRO6,,NO,0
CRO7,,NO,0
